artist,date,dj,genre,show,timestamp,title
The Field Mice,"Oct 2, 2024",Matt,Unknown,The Locked Groove,9:00 PM,If You Need Someone
Jon Hassel,"Sep 4, 2024",Matt,Unknown,The Locked Groove,9:00 PM,Out Pours (Kongo) Blue [Prayer]
Rob,"Oct 9, 2024",Matt,Unknown,The Locked Groove,9:00 PM,Nothing
Aural Blasphemy,"Oct 9, 2024",Matt,Unknown,The Locked Groove,9:24 PM,Sonomech v2
Matt,"Oct 9, 2024",Matt,Unknown,The Locked Groove,9:26 PM,Something
Binar Code,"Oct 9, 2024",Matt,Unknown,The Locked Groove,9:51 PM,Anorexia
Voice Actor,"Oct 9, 2024",Matt,Unknown,The Locked Groove,9:52 PM,Stand Tall
Panel Donor,"Oct 9, 2024",Matt,Unknown,The Locked Groove,9:54 PM,Very Young Early Small Peas
Rumskib,"Oct 9, 2024",Matt,Rock,The Locked Groove,9:57 PM,Troløs blomst
Farafina & Jon Hassell,"Sep 4, 2024",Matt,Classical,The Locked Groove,9:03 PM,Out Pours (Kongo) Blue (Prayer)
Laraaji,"Sep 4, 2024",Matt,Unknown,The Locked Groove,9:07 PM,Zaragoza
Francis Bebey,"Sep 4, 2024",Matt,Unknown,The Locked Groove,9:10 PM,Tumu Pakara
Abadir,"Sep 4, 2024",Matt,Unknown,The Locked Groove,9:16 PM,Pyrolysis
Vibracathedral Orchestra,"Sep 4, 2024",Matt,Rock,The Locked Groove,9:22 PM,A Mirrored Pyramid (for JS)
Sunroof,"Sep 4, 2024",Matt,Rock,The Locked Groove,9:23 PM,Grasshopper
Group Inerane,"Sep 4, 2024",Matt,Unknown,The Locked Groove,9:27 PM,Nadan Al Kazawnin
Maria & The Mirrors,"Sep 4, 2024",Matt,Unknown,The Locked Groove,9:37 PM,Travel Sex
Chessie,"Sep 4, 2024",Matt,Unknown,The Locked Groove,9:41 PM,The Last Lie I Ever Told
The Threshold HouseBoys Choir,"Sep 4, 2024",Matt,Unknown,The Locked Groove,9:46 PM,Part Four: So Free It Knows No End
Inca Ore,"Sep 4, 2024",Matt,Rock,The Locked Groove,9:54 PM,School Hi
Olhon,"Sep 4, 2024",Matt,Unknown,The Locked Groove,9:56 PM,Olhon Sounding-Line (-91m)
The Pretty Things,"Sep 4, 2024",Matt,Unknown,The Locked Groove,9:58 PM,"""Death"""
Sadesper Record,"Sep 11, 2024",Rob,Unknown,The Locked Groove,9:01 PM,Siesta
All Natural Lemon And Lime Flavors,"Sep 11, 2024",Rob,Unknown,The Locked Groove,9:04 PM,When Things Come Falling
Kitty Craft,"Sep 11, 2024",Rob,Unknown,The Locked Groove,9:08 PM,Inward Jam
Maribel,"Sep 11, 2024",Rob,Pop,The Locked Groove,9:11 PM,Deflowers
Guitar,"Sep 11, 2024",Rob,Pop,The Locked Groove,9:20 PM,Melt
Aerial Love Feed,"Sep 11, 2024",Rob,Rock,The Locked Groove,9:21 PM,All Clear
Unwound,"Sep 11, 2024",Rob,Rock,The Locked Groove,9:28 PM,Sensible
Isabel's Dream,"Sep 11, 2024",Rob,Unknown,The Locked Groove,9:29 PM,It's Better with You
Jessamine,"Sep 11, 2024",Rob,Unknown,The Locked Groove,9:44 PM,Pilot-Free Ignition
Amp,"Sep 11, 2024",Rob,Unknown,The Locked Groove,9:48 PM,Sunflower
My Bloody Valentine,"Sep 11, 2024",Rob,Unknown,The Locked Groove,9:53 PM,Soon (Remastered Version)
Sonic Youth,"Oct 30, 2024",Matt,Unknown,The Locked Groove,9:00 PM,Providence (Album Version)
Chlär,"Sep 25, 2024",Matt,Unknown,The Locked Groove,9:07 PM,Exoskeleton
LFO,"Sep 18, 2024",Matt,Unknown,The Locked Groove,9:00 PM,We Are Back
Astrix,"Sep 18, 2024",Matt,Unknown,The Locked Groove,9:07 PM,Oranda XI (Xerox & Illumination Remix)
Kiss-O-Matic,"Sep 18, 2024",Matt,Unknown,The Locked Groove,9:12 PM,You Dancin'
Kelbin,"Sep 18, 2024",Matt,Dance,The Locked Groove,9:15 PM,Want2 (Additive Mix) - Extended
Thomas Bangalter,"Sep 25, 2024",Matt,Unknown,The Locked Groove,9:10 PM,What to do
Vril,"Sep 25, 2024",Matt,Unknown,The Locked Groove,9:11 PM,Portal 1
Nuearz,"Sep 25, 2024",Matt,Unknown,The Locked Groove,9:17 PM,Moody Person
Regis,"Sep 25, 2024",Matt,Dance,The Locked Groove,9:24 PM,Escape from Yourself
Quinoline Yellow,"Sep 25, 2024",Matt,Unknown,The Locked Groove,9:26 PM,Tradmarc9
Imminent Starvation,"Sep 25, 2024",Matt,Unknown,The Locked Groove,9:29 PM,Dislocation 3
Surgeon,"Sep 25, 2024",Matt,Unknown,The Locked Groove,9:34 PM,The Heath
