artist,date,dj,genre,show,timestamp,title
The Spinanes,"Sep 5, 2024",Masen,Rock,Outshined,1:00 PM,Spitfire
Unwound,"Sep 5, 2024",Masen,Unknown,Outshined,1:03 PM,Demolished
Polvo,"Sep 5, 2024",Masen,Unknown,Outshined,1:06 PM,Bridesmaid Blues
The Spinanes,"Apr 4, 2024",Masen,Unknown,Outshined,9:00 AM,Spitfire
Polvo,"Apr 4, 2024",Masen,Unknown,Outshined,9:04 AM,In This Life
Braid,"Apr 4, 2024",Masen,Rock,Outshined,9:08 AM,Killing A Camera
Brainiac,"Apr 4, 2024",Masen,Unknown,Outshined,9:10 AM,Hot Metal Doberman's
Silkworm,"Apr 4, 2024",Masen,Unknown,Outshined,9:13 AM,Quicksand
Tsunami,"Apr 11, 2024",Masen,Rock,Outshined,9:02 AM,Water’s Edge
Cherubs,"Apr 11, 2024",Masen,Rock,Outshined,9:06 AM,Ginger Upper
Distorted Pony,"Apr 11, 2024",Masen,Rock,Outshined,9:08 AM,Gut Bug
The Jesus Lizard,"Apr 11, 2024",Masen,Unknown,Outshined,9:10 AM,Pastoral
Cows,"Apr 11, 2024",Masen,Rock,Outshined,9:15 AM,Organized Meat
Hammerhead,"Apr 11, 2024",Masen,Unknown,Outshined,9:18 AM,Earth (I Won't Miss)
Polvo,"Apr 25, 2024",Masen,Unknown,Outshined,9:00 AM,Leaf
Braid,"Apr 25, 2024",Masen,Rock,Outshined,9:03 AM,Killing A Camera
Brainiac,"Apr 25, 2024",Masen,Unknown,Outshined,9:06 AM,Ride
Knapsack,"Apr 25, 2024",Masen,Unknown,Outshined,9:09 AM,Cellophane
Kill Holiday,"Apr 25, 2024",Masen,Unknown,Outshined,9:12 AM,Someday You Will Lose and I Will Win
Quasi,"Sep 5, 2024",Masen,Unknown,Outshined,1:09 PM,Sea Shanty
Thinking Fellers Union Local 282,"Sep 5, 2024",Masen,Unknown,Outshined,1:13 PM,Million Dollars
Lync,"Sep 5, 2024",Masen,Unknown,Outshined,1:18 PM,Cue Cards
Thingy,"Sep 5, 2024",Masen,Unknown,Outshined,1:22 PM,Rope Swing
Pinback,"Sep 5, 2024",Masen,Rock,Outshined,1:23 PM,Crutch
Pond,"Sep 5, 2024",Masen,Rock,Outshined,1:28 PM,Golden
Starflyer 59,"Sep 5, 2024",Masen,Unknown,Outshined,1:31 PM,The Zenith
The Afghan Whigs,"Sep 5, 2024",Masen,Unknown,Outshined,1:36 PM,Miles Iz Ded
Seam,"Sep 5, 2024",Masen,Unknown,Outshined,1:41 PM,Petty Thievery
Shift,"Sep 5, 2024",Masen,Rock,Outshined,1:44 PM,Spacesuit
All Natural Lemon & Lime Flavors,"Apr 4, 2024",Masen,Unknown,Outshined,9:16 AM,Muffin 57
Smart Went Crazy,"Apr 4, 2024",Masen,Indie Rock,Outshined,9:19 AM,A Brief Conversation Ending In Divorce
Difference Engine,"Apr 4, 2024",Masen,Unknown,Outshined,9:23 AM,5 Listens
Pond,"Apr 4, 2024",Masen,Rock,Outshined,9:27 AM,Golden
Swell,"Apr 4, 2024",Masen,Rock,Outshined,9:30 AM,Down
Hazel,"Apr 4, 2024",Masen,Unknown,Outshined,9:34 AM,Day Glo
Samiam,"Apr 4, 2024",Masen,Indie Rock,Outshined,9:39 AM,Regret
Superdrag,"Apr 4, 2024",Masen,Indie Pop,Outshined,9:42 AM,Blown Away
Majesty Crush,"Apr 4, 2024",Masen,Rock,Outshined,9:44 AM,Boyfriend
Unwound,"Apr 4, 2024",Masen,Unknown,Outshined,9:49 AM,Petals Like Bricks
Ida,"Apr 11, 2024",Masen,Unknown,Outshined,9:24 AM,Fallen Arrow
Lync,"Apr 11, 2024",Masen,Unknown,Outshined,9:27 AM,Cue Cards
Idaho,"Apr 11, 2024",Masen,Unknown,Outshined,9:31 AM,Memorial Day
Guzzard,"Apr 11, 2024",Masen,Unknown,Outshined,9:36 AM,Life Away
Jessamine,"Apr 11, 2024",Masen,Unknown,Outshined,9:41 AM,Inevitably
Thingy,"Apr 11, 2024",Masen,Unknown,Outshined,9:46 AM,Mayday
Brainiac,"Apr 11, 2024",Masen,Unknown,Outshined,9:48 AM,Status: Choke
Steel Pole Bath Tub,"Apr 11, 2024",Masen,Unknown,Outshined,9:51 AM,Mercurochrome
Godheadsilo,"Apr 11, 2024",Masen,Rock,Outshined,9:56 AM,Dan Vs. Nature
Elliott,"Apr 25, 2024",Masen,Unknown,Outshined,9:17 AM,Dionysus Burning
Garden Variety,"Apr 25, 2024",Masen,Unknown,Outshined,9:21 AM,Nine Behind You (Remastered)
Boys Life,"Apr 25, 2024",Masen,Unknown,Outshined,9:25 AM,All of the Negatives
Shift,"Apr 25, 2024",Masen,Rock,Outshined,9:30 AM,In Honor of Myself
Shiner,"Apr 25, 2024",Masen,Rock,Outshined,9:35 AM,Martyr
Hum,"Apr 25, 2024",Masen,Rock,Outshined,9:39 AM,Sundress
Thinking Fellers Union Local 282,"Apr 25, 2024",Masen,Unknown,Outshined,9:42 AM,Hurricane
Pinback,"Apr 25, 2024",Masen,Rock,Outshined,9:49 AM,Crutch
Codeine,"Apr 25, 2024",Masen,Unknown,Outshined,9:54 AM,Sea
Swervedriver,"Sep 5, 2024",Masen,Rock,Outshined,1:49 PM,Never Lose That Feeling
Cows,"Apr 4, 2024",Masen,Indie Pop,Outshined,9:51 AM,Finished Again
Rex,"Apr 4, 2024",Masen,Unknown,Outshined,9:55 AM,Audrey La 'Mort
Pot Valiant,"May 9, 2024",Masen,Rock,Outshined,9:02 AM,Low Dexterity Points (Single Version)
Pot Valiant,"May 9, 2024",Masen,Unknown,Outshined,9:02 AM,Loud Street
Duster,"May 9, 2024",Masen,Rock,Outshined,9:09 AM,Moon Age
Duster,"May 9, 2024",Masen,Rock,Outshined,9:09 AM,Heading for the Door
125 Rue Montmartre,"May 9, 2024",Masen,Unknown,Outshined,9:10 AM,Pausenlied
Pavement,"Sep 12, 2024",Masen,Rock,Outshined,1:00 PM,Blue Hawaiian
Brainiac,"Sep 12, 2024",Masen,Unknown,Outshined,1:04 PM,NOTH1NG 3V3R CHAN935
Moonshake,"Sep 12, 2024",Masen,Unknown,Outshined,1:06 PM,Spaceship Earth
Long Fin Killie,"Sep 12, 2024",Masen,Unknown,Outshined,1:11 PM,Love Smothers Allergy
Helium,"Sep 12, 2024",Masen,Unknown,Outshined,1:17 PM,Vibrations
Majesty Crush,"Sep 12, 2024",Masen,Unknown,Outshined,1:19 PM,Boyfriend
Thingy,"Apr 18, 2024",Masen,Unknown,Outshined,9:00 AM,S.S. Eggshell
Unwound,"Apr 18, 2024",Masen,Unknown,Outshined,9:02 AM,Laugh Track
Brainiac,"Apr 18, 2024",Masen,Unknown,Outshined,9:05 AM,V1NC3NT COM3 ON DOWN
The Afghan Whigs,"Apr 18, 2024",Masen,Rock,Outshined,9:08 AM,Gentlemen
Sonny Sharrock,"May 2, 2024",Masen,Unknown,Outshined,9:00 AM,Space Ghost Coast to Coast Theme
Chavez,"May 2, 2024",Masen,Unknown,Outshined,9:01 AM,Pentagram Ring
Bailter Space,"May 2, 2024",Masen,Unknown,Outshined,9:03 AM,Robot World
