artist,date,dj,genre,show,timestamp,title
Allan Holdsworth,"Feb 1, 2024",DJ Lore,Jazz,The Holdsworth Dilemma,6:02 PM,Letters of Marque
Donald Byrd,"Feb 1, 2024",DJ Lore,Jazz,The Holdsworth Dilemma,6:06 PM,Onward 'Til Morning
Bill Bruford,"Feb 1, 2024",DJ Lore,Rock,The Holdsworth Dilemma,6:10 PM,One Of A Kind - Part One
Joe Zawinul,"Feb 1, 2024",DJ Lore,Jazz,The Holdsworth Dilemma,6:13 PM,Black Market
Gary Husband,"Feb 1, 2024",DJ Lore,Unknown,The Holdsworth Dilemma,6:26 PM,Fred 2011
Pedro Martins,"Feb 1, 2024",DJ Lore,Jazz,The Holdsworth Dilemma,6:32 PM,Polos (feat. Chris Fishman & Daryl Johns)
Joomanji,"Feb 1, 2024",DJ Lore,R&B/Soul,The Holdsworth Dilemma,6:36 PM,Chasin Rhymes (feat. Saara Maria)
KNOWER,"Feb 1, 2024",DJ Lore,Indie Pop,The Holdsworth Dilemma,6:39 PM,It Will Get Real
Anatole Muster,"Feb 1, 2024",DJ Lore,Jazz,The Holdsworth Dilemma,6:43 PM,Layers
ClascyJitto,"Mar 14, 2024",DJ Lore,Unknown,The Holdsworth Dilemma,6:00 PM,Secret Hoppin' (Vacation Mix)
Blowout,"Mar 7, 2024",DJ Lore,Unknown,The Holdsworth Dilemma,6:00 PM,Indiana
Peter Tosh,"Feb 15, 2024",DJ Lore,Reggae,The Holdsworth Dilemma,6:46 PM,Why Must I Cry
Scotty,"Feb 15, 2024",DJ Lore,World,The Holdsworth Dilemma,6:52 PM,Draw Your Brakes
El Wali,"Feb 15, 2024",DJ Lore,Unknown,The Holdsworth Dilemma,6:55 PM,Long Live the Sahrawi Army
Дафо Трендафилов,"Feb 15, 2024",DJ Lore,Unknown,The Holdsworth Dilemma,6:57 PM,Родопска ръченица
Les Loups Noirs D'Haiti,"Feb 15, 2024",DJ Lore,Latin,The Holdsworth Dilemma,6:59 PM,Jet Biguine
Au Pairs,"Feb 29, 2024",DJ Lore,Rock,The Holdsworth Dilemma,6:18 PM,Love Song
Coach Party,"Feb 29, 2024",DJ Lore,Rock,The Holdsworth Dilemma,6:21 PM,All I Wanna Do Is Hate
Bauhaus,"Feb 29, 2024",DJ Lore,Unknown,The Holdsworth Dilemma,6:27 PM,Silent Hedges
Drive-By Truckers,"Feb 29, 2024",DJ Lore,Rock,The Holdsworth Dilemma,6:27 PM,Guns Of Umpqua
Ronnie Lane,"Feb 29, 2024",DJ Lore,Unknown,The Holdsworth Dilemma,6:31 PM,Roll On Babe
Ghost Note,"Feb 8, 2024",DJ Lore,Jazz,The Holdsworth Dilemma,6:01 PM,Bad Knees
Allan Holdsworth,"Feb 8, 2024",DJ Lore,Unknown,The Holdsworth Dilemma,6:04 PM,Panic Station
Greg Howe,"Feb 8, 2024",DJ Lore,Heavy Metal,The Holdsworth Dilemma,6:08 PM,Jump Start
Steve Morse Band,"Feb 8, 2024",DJ Lore,Rock,The Holdsworth Dilemma,6:13 PM,Vista Grande
Melt,"Feb 8, 2024",DJ Lore,Unknown,The Holdsworth Dilemma,6:26 PM,Harvest Moon (Live at Echo Mountain)
Glass Beams,"Mar 14, 2024",DJ Lore,Unknown,The Holdsworth Dilemma,6:02 PM,Taurus
Lenny White,"Mar 14, 2024",DJ Lore,Unknown,The Holdsworth Dilemma,6:07 PM,Sweet Dreamer
Bobbi Humphrey,"Mar 14, 2024",DJ Lore,Jazz,The Holdsworth Dilemma,6:11 PM,Just A Love Child - 1998 Digital Remaster
Gene Harris,"Mar 14, 2024",DJ Lore,Jazz,The Holdsworth Dilemma,6:18 PM,Losalamitoslatinfunklovesong
Mason Lindroth,"Mar 14, 2024",DJ Lore,Unknown,The Holdsworth Dilemma,6:22 PM,Prevailing Westerlies
Marc Johnson,"Mar 14, 2024",DJ Lore,Jazz,The Holdsworth Dilemma,6:26 PM,Faith In You
Joe Zawinul,"Feb 22, 2024",DJ Lore,Jazz,The Holdsworth Dilemma,5:59 PM,Brown Street
Maynard Ferguson,"Feb 22, 2024",DJ Lore,Jazz,The Holdsworth Dilemma,6:09 PM,Birdland
CASIOPEA,"Feb 22, 2024",DJ Lore,Jazz,The Holdsworth Dilemma,6:14 PM,スワロー
Spilly Cave,"Feb 22, 2024",DJ Lore,Indie Pop,The Holdsworth Dilemma,6:20 PM,Cario
Anatole Muster,"Feb 22, 2024",DJ Lore,Jazz,The Holdsworth Dilemma,6:23 PM,Auntie Mabel
Drive-By Truckers,"Feb 29, 2024",DJ Lore,Rock,The Holdsworth Dilemma,6:34 PM,Zip City
